City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
137,Tiksi,71.6872,128.8694,-9.62,88,48,7.61,RU,2021-02-11 23:01:03,scattered clouds
138,Qasigiannguit,68.8193,-51.1922,10.4,67,75,17.27,GL,2021-02-11 23:01:33,broken clouds
139,Tirlyanskiy,54.2109,58.5806,-1.23,90,98,1.86,RU,2021-02-11 23:01:33,overcast clouds
140,Lorengau,-2.0226,147.2712,82.49,75,90,6.6,PG,2021-02-11 23:01:11,overcast clouds
141,Puerto Baquerizo Moreno,-0.9,-89.6,80.6,89,75,6.91,EC,2021-02-11 23:00:23,light rain
142,Baykit,61.67,96.37,-15.56,84,100,3.2,RU,2021-02-11 23:01:33,overcast clouds
143,Riyadh,24.6877,46.7219,59.0,41,0,5.75,SA,2021-02-11 23:00:56,clear sky
144,Bulungu,-4.55,18.6,73.0,85,30,3.58,CD,2021-02-11 23:01:34,scattered clouds
145,Cherskiy,68.75,161.3,-22.52,84,0,1.16,RU,2021-02-11 23:01:34,clear sky
146,Tsaratanana,-16.7833,47.65,70.23,86,99,5.95,MG,2021-02-11 23:01:34,light rain
147,Touba,8.2833,-7.6833,79.66,27,60,1.1,CI,2021-02-11 23:01:35,broken clouds
148,Vardo,70.3705,31.1107,15.8,79,75,5.75,NO,2021-02-11 23:01:35,broken clouds
149,Moshi,-3.35,37.3333,68.86,65,83,2.42,TZ,2021-02-11 23:01:35,broken clouds
150,Clyde River,70.4692,-68.5914,6.8,92,45,31.07,CA,2021-02-11 22:59:54,snow
151,Sola,-13.8833,167.55,82.6,74,72,5.64,VU,2021-02-11 23:01:35,broken clouds
152,Kahului,20.8947,-156.47,80.6,50,20,14.97,US,2021-02-11 23:01:35,few clouds
